Country Name,name,day,Cumulative_Deaths,Confirmed_Cases,id,population,Percent_Population_Affected
Burundi,Burundi,4/9/2020,0,3,BDI,9863117,0
Cambodia,Cambodia,4/9/2020,0,117,KHM,14753320,0.0008
Cameroon,Cameroon,4/9/2020,9,555,CMR,19294149,0.0029
Canada,Canada,4/9/2020,345,17049,CAN,33759742,0.0505
Cayman Islands,Cayman Islands,4/9/2020,1,39,206,50209,0.0777
Central African Republic,Central African Republic,4/9/2020,0,9,CAF,4844927,0.0002
Chad,Chad,4/9/2020,0,10,TCD,10543464,0.0001
Chile,Chile,4/9/2020,43,5116,CHL,16746491,0.0305
China,China,4/9/2020,3342,83161,CHN,1330141295,0.0063
Colombia,Colombia,4/9/2020,46,1579,COL,44205293,0.0036
Republic of the Congo,Republic of the Congo,4/9/2020,5,49,COD,70916439,0.0001
Costa Rica,Costa Rica,4/9/2020,2,467,CRI,4516220,0.0103
Côte d’Ivoire,Côte d’Ivoire,4/9/2020,3,349,CIV,21058798,0.0017
Croatia,Croatia,4/9/2020,18,1282,HRV,4486881,0.0286
Cuba,Cuba,4/9/2020,11,396,CUB,11477459,0.0035
Cyprus,Cyprus,4/9/2020,14,494,CYP,1102677,0.0448
Republic of the Congo,Republic of the Congo,4/9/2020,20,183,CD,70916439,0.0003
Denmark,Denmark,4/9/2020,203,5071,DNK,5515575,0.0919
Djibouti,Djibouti,4/9/2020,0,135,DJI,740528,0.0182
Dominica,Dominica,4/9/2020,0,15,DOM,72813,0.0206
Dominican Republic,Dominican Republic,4/9/2020,98,1956,DOM,9794487,0.02
Ecuador,Ecuador,4/9/2020,191,3747,ECU,14790608,0.0253
Egypt,Egypt,4/9/2020,94,1450,EGY,80471869,0.0018
El Salvador,El Salvador,4/9/2020,4,78,SLV,6052064,0.0013
Equatorial Guinea,Equatorial Guinea,4/9/2020,0,16,GNQ,650702,0.0025
Eritrea,Eritrea,4/9/2020,0,31,ERI,5792984,0.0005
Estonia,Estonia,4/9/2020,21,1149,EST,1291170,0.089
Ethiopia,Ethiopia,4/9/2020,2,52,ETH,88013491,0.0001
Faroe Islands,Faroe Islands,4/9/2020,0,184,208,49057,0.3751
Fiji,Fiji,4/9/2020,0,15,FJI,957780,0.0016
Finland,Finland,4/9/2020,34,2308,FIN,5255068,0.0439
France,France,4/9/2020,10313,77226,FRA,64057792,0.1206
French Polynesia,French Polynesia,4/9/2020,0,47,179,291000,0.0162
Gabon,Gabon,4/9/2020,1,24,GAB,1545255,0.0016
Gambia,Gambia,4/9/2020,1,4,GMB,1824158,0.0002
Georgia,Georgia,4/9/2020,3,208,GEO,4600825,0.0045
Germany,Germany,4/9/2020,1861,103228,DEU,82282988,0.1255
Ghana,Ghana,4/9/2020,5,287,GHA,24339838,0.0012
Gibraltar,Gibraltar,4/9/2020,1,113,214,28877,0.3913
Greece,Greece,4/9/2020,81,1832,GRC,10749943,0.017
Greenland,Greenland,4/9/2020,0,11,GRL,57637,0.0191
Grenada,Grenada,4/9/2020,0,12,190,107818,0.0111
Guatemala,Guatemala,4/9/2020,3,77,GTM,13550440,0.0006
Guernsey,Guernsey,4/9/2020,4,166,204,65632,0.2529
Guinea,Guinea,4/9/2020,0,144,GIN,10324025,0.0014
Guinea-Bissau,Guinea-Bissau,4/9/2020,0,33,GNB,1565126,0.0021
Guyana,Guyana,4/9/2020,5,31,GUY,748486,0.0041
Haiti,Haiti,4/9/2020,1,25,HTI,9203083,0.0003
Honduras,Honduras,4/9/2020,22,305,HND,7989415,0.0038
Hungary,Hungary,4/9/2020,58,895,HUN,9880059,0.0091
Iceland,Iceland,4/9/2020,6,1586,ISL,308910,0.5134
India,India,4/9/2020,149,5274,IND,1173108018,0.0004
Indonesia,Indonesia,4/9/2020,240,2956,IDN,242968342,0.0012
Iran,Iran,4/9/2020,3993,64586,IRN,67037517,0.0963
Iraq,Iraq,4/9/2020,65,1122,IRQ,29671605,0.0038
Ireland,Ireland,4/9/2020,210,5709,IRL,4250163,0.1343
Isle of Man,Isle of Man,4/9/2020,1,150,199,76913,0.195
Israel,Israel,4/9/2020,71,9404,ISR,7353985,0.1279
Italy,Italy,4/9/2020,17129,135586,ITA,58090681,0.2334
Jamaica,Jamaica,4/9/2020,3,59,JAM,2847232,0.0021
Japan,Japan,4/9/2020,81,4257,JPN,126804433,0.0034
Jersey,Jersey,4/9/2020,3,170,195,91812,0.1852
Jordan,Jordan,4/9/2020,6,353,JOR,6407085,0.0055
Kazakhstan,Kazakhstan,4/9/2020,6,709,KAZ,15460484,0.0046
Kenya,Kenya,4/9/2020,6,172,KEN,40046566,0.0004
Kuwait,Kuwait,4/9/2020,1,855,KWT,2789132,0.0307
Kyrgyzstan,Kyrgyzstan,4/9/2020,4,270,KGZ,5508626,0.0049
Latvia,Latvia,4/9/2020,2,548,LVA,2217969,0.0247
Lebanon,Lebanon,4/9/2020,19,575,LBN,4125247,0.0139
Liberia,Liberia,4/9/2020,3,14,LBR,3685076,0.0004
Libya,Libya,4/9/2020,1,21,LBY,6461454,0.0003
Liechtenstein,Liechtenstein,4/9/2020,1,78,210,35002,0.2228
Lithuania,Lithuania,4/9/2020,15,880,LTU,3545319,0.0248
Luxembourg,Luxembourg,4/9/2020,44,2970,LUX,497538,0.5969
Madagascar,Madagascar,4/9/2020,0,92,MDG,21281844,0.0004
Malawi,Malawi,4/9/2020,1,8,MWI,15447500,0.0001
Malaysia,Malaysia,4/9/2020,63,3963,MYS,26160256,0.0151
Maldives,Maldives,4/9/2020,0,19,174,395650,0.0048
Mali,Mali,4/9/2020,5,47,MLI,13796354,0.0003
Malta,Malta,4/9/2020,0,293,173,406771,0.072
Mauritania,Mauritania,4/9/2020,1,6,MRT,3205060,0.0002
Mauritius,Mauritius,4/9/2020,7,268,153,1294104,0.0207
Mayotte,Mayotte,4/9/2020,2,184,181,231139,0.0796
Mexico,Mexico,4/9/2020,125,2439,MEX,112468855,0.0022
Monaco,Monaco,4/9/2020,0,40,212,30586,0.1308
Mongolia,Mongolia,4/9/2020,0,16,MNG,3086918,0.0005
Montenegro,Montenegro,4/9/2020,2,248,MNE,666730,0.0372
Montserrat,Montserrat,4/9/2020,0,6,228,5118,0.1172
Morocco,Morocco,4/9/2020,91,1242,MAR,31627428,0.0039
Mozambique,Mozambique,4/9/2020,0,10,MOZ,22061451,0
Namibia,Namibia,4/9/2020,0,16,NAM,2128471,0.0008
Nepal,Nepal,4/9/2020,0,9,NPL,28951852,0
Netherlands,Netherlands,4/9/2020,2101,19580,NLD,16783092,0.1167
New Caledonia,New Caledonia,4/9/2020,0,18,NCL,229993,0.0078
New Zealand,New Zealand,4/9/2020,1,969,NZL,4252277,0.0228
Nicaragua,Nicaragua,4/9/2020,1,6,NIC,5995928,0.0001
Niger,Niger,4/9/2020,11,278,NER,15878271,0.0018
Nigeria,Nigeria,4/9/2020,6,254,NGA,152217341,0.0002
Norway,Norway,4/9/2020,69,5863,NOR,4676305,0.1254
Oman,Oman,4/9/2020,2,419,OMN,2967717,0.0141
Oman,oman,4/9/2020,2,419,LKA,21513990,0.0019
Pakistan,Pakistan,4/9/2020,58,4183,PAK,177276594,0.0024
Panama,Panama,4/9/2020,55,2100,PAN,3410676,0.0616
Papua New Guinea,Papua New Guinea,4/9/2020,0,1,PNG,6064515,0
Paraguay,Paraguay,4/9/2020,5,115,PRY,6375830,0.0018
Peru,Peru,4/9/2020,92,2561,PER,29907003,0.0086
Philippines,Philippines,4/9/2020,182,3870,PHL,99900177,0.0039
Poland,Poland,4/9/2020,129,4848,POL,38463689,0.0126
Portugal,Portugal,4/9/2020,345,12442,PRT,10735765,0.1159
Puerto Rico,Puerto Rico,4/9/2020,23,573,PRI,3977663,0.0144
Qatar,Qatar,4/9/2020,6,2210,QAT,840926,0.2628
Romania,Romania,4/9/2020,182,4417,ROU,22181287,0.0199
Russian Federation,Russian Federation,4/9/2020,58,7497,RUS,139390205,0.0054
Rwanda,Rwanda,4/9/2020,0,105,RWA,11055976,0.0009
Saint Kitts and Nevis,Saint Kitts and Nevis,4/9/2020,0,10,207,49898,0.02
Saint Lucia,Saint Lucia,4/9/2020,0,14,187,160922,0.0087
Saint Martin,Saint Martin,4/9/2020,2,31,213,30235,0.1025
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/9/2020,0,1,227,6010,0.0166
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4/9/2020,0,7,193,104217,0.0067
San Marino,San Marino,4/9/2020,34,279,211,31477,0.8864
Sao Tome and Principe,Sao Tome and Principe,4/9/2020,0,4,186,175808,0.0023
Saudi Arabia,Saudi Arabia,4/9/2020,41,2932,SAU,29207277,0.01
Senegal,Senegal,4/9/2020,2,237,SEN,14086103,0.0017
Serbia,Serbia,4/9/2020,61,2447,SRB,7344847,0.0333
Seychelles,Seychelles,4/9/2020,0,11,196,88340,0.0125
Sierra Leone,Sierra Leone,4/9/2020,0,6,SLE,5245695,0.0001
Singapore,Singapore,4/9/2020,6,1481,SGP,4701069,0.0315
Slovakia,Slovakia,4/9/2020,2,598,SVK,5470306,0.0109
Slovenia,Slovenia,4/9/2020,36,1055,SVN,2003136,0.0527
Somalia,Somalia,4/9/2020,0,8,SOM,10112453,0.0001
South Africa,South Africa,4/9/2020,13,1749,ZAF,49109107,0.0036
South Sudan,South Sudan,4/9/2020,0,1,SDS,12152321,0
Spain,Spain,4/9/2020,13798,140510,ESP,40548753,0.3465
Sudan,Sudan,4/9/2020,2,14,SDN,41980182,0
Suriname,Suriname,4/9/2020,1,10,SUR,486618,0.0021
Sweden,Sweden,4/9/2020,591,7693,SWE,9074055,0.0848
Switzerland,Switzerland,4/9/2020,641,22164,CHE,7623438,0.2907
Syrian Arab Republic,Syrian Arab Republic,4/9/2020,2,19,SYR,22198110,0.0001
Thailand,Thailand,4/9/2020,30,2369,THA,66404688,0.0036
The United Kingdom,The United Kingdom,4/9/2020,6159,55246,GBR,61284806,0.0901
Timor-Leste,Timor-Leste,4/9/2020,0,1,TLS,1154625,0.0001
Togo,Togo,4/9/2020,3,58,TGO,6199841,0.0009
Trinidad and Tobago,Trinidad and Tobago,4/9/2020,8,106,TTO,1228691,0.0086
Tunisia,Tunisia,4/9/2020,23,623,TUN,10589025,0.0059
Turkey,Turkey,4/9/2020,725,34109,TUR,77804122,0.0438
Turks and Caicos Islands,Turks and Caicos Islands,4/9/2020,1,8,216,23528,0.034
Uganda,Uganda,4/9/2020,0,52,UGA,33398682,0.0002
Ukraine,Ukraine,4/9/2020,52,1668,UKR,45415596,0.0037
United Arab Emirates,United Arab Emirates,4/9/2020,12,2659,ARE,4975593,0.0534
United Republic of Tanzania,United Republic of Tanzania,4/9/2020,1,24,TZA,41892895,0.0001
United States of America,United States of America,4/9/2020,10845,363321,USA,310232863,0.1171
United States Virgin Islands,United States Virgin Islands,4/9/2020,1,43,189,109775,0.0392
Uruguay,Uruguay,4/9/2020,6,415,URY,3510386,0.0118
Uzbekistan,Uzbekistan,4/9/2020,3,534,UZB,27865738,0.0019
Venezuela ,Venezuela,4/9/2020,7,165,VEN,27223228,0.0006
Viet Nam,Vietnam,4/9/2020,0,251,VNM,89571130,0.0003
Zambia,Zambia,4/9/2020,1,39,ZMB,12056923,0.0003
Zimbabwe,Zimbabwe,4/9/2020,2,11,ZWE,11651858,0.0001
South Korea,South Korea,4/9/2020,200,10384,KOR,48636068,0.0214
Myanmar,Myanmar,4/9/2020,3,22,MMR,53414374,0
Czech Republic,Czech Republic,4/9/2020,88,5017,CZE,10201707,0.0492
